url,slug,sitemap_included,type,wp_id,wp_modified,title,title_len,meta_description,desc_len,desc_is_autogenerated,desc_flag_reason,canonical,canonical_matches_url,robots,og:title,og:description,og:url,og:type,og:image,og:site_name,og:locale,twitter:card,twitter:title,h1,h1_count,heading_count,word_count,jsonld_blocks,jsonld_types,internal_links,external_links,img_count,img_missing_alt
https://neofollicletransplant.com/,home,True,page,55,2026-08-13T13:07:12,Direct Hair Transplant Clinic in Bangalore | Neo Follicle,57,"Get direct hair transplant in Bangalore at Neo Follicle Clinic under Dr. Sandeep Mahapatra. Natural hairline, careful graft handling, and personalized planning.",160,False,,https://neofollicletransplant.com/,True,"max-image-preview:large, max-snippet:-1, max-video-preview:-1",Direct Hair Transplant Clinic in Bangalore | Neo Follicle,"Get direct hair transplant in Bangalore at Neo Follicle Clinic under Dr. Sandeep Mahapatra. Natural hairline, careful graft handling, and personalized planning.",https://neofollicletransplant.com/,website,,Neo Follicle Hair Transplant,en,summary_large_image,,Direct Hair Transplant Clinic in Bangalore for Natural-Looking Hair Restoration,1,87,3865,1,ContactPage|ContactPoint|FAQPage|ImageObject|ItemList|LocalBusiness|MedicalClinic|MedicalWebPage|Organization|Person|Physician|ReadAction|SearchAction|Service|WebPage|WebSite,64,11,59,2
https://neofollicletransplant.com/ai-hair-transplant-cost-calculator/,ai-hair-transplant-cost-calculator,False,page,1303,2026-02-11T15:19:32,AI Hair Transplant Cost Calculator – Neo Follicle Hair Transplant,65,Try Our Free AI Hair Assessment Report & Cost Calculator We use artificial intelligence to calculate the approximate cost of hair transplantation. Get Your Free,160,True,truncated mid-sentence,,False,"max-image-preview:large, noindex, follow",AI Hair Transplant Cost Calculator – Neo Follicle Hair Transplant,Try Our Free AI Hair Assessment Report & Cost Calculator We use artificial intelligence to calculate the approximate cost of hair transplantation. Get Your Free,https://neofollicletransplant.com/ai-hair-transplant-cost-calculator/,article,,Neo Follicle Hair Transplant,en,summary_large_image,,Try Our Free AI Hair Assessment Report & Cost Calculator,1,22,939,1,BreadcrumbList|ContactPage|ContactPoint|LocalBusiness|MedicalClinic|Organization|Person|Physician|ReadAction|SearchAction|Service|WebPage|WebSite,29,11,20,4
https://neofollicletransplant.com/alopecia-areata-treatment-in-bangalore/,alopecia-areata-treatment-in-bangalore,True,page,826,2026-05-26T16:50:38,Alopecia Areata Treatment in Bangalore – Neo Follicle Hair Transplant,69,Home » Alopecia Areata Treatment in Bangalore Best Alopecia Areata Treatment in Bangalore Struggling with Sudden Hair Patches or Bald Spots? Get expert ca,154,True,body dump (breadcrumb prefix),https://neofollicletransplant.com/alopecia-areata-treatment-in-bangalore/,True,"max-image-preview:large, max-snippet:-1, max-video-preview:-1",Alopecia Areata Treatment in Bangalore – Neo Follicle Hair Transplant,Home » Alopecia Areata Treatment in Bangalore Best Alopecia Areata Treatment in Bangalore Struggling with Sudden Hair Patches or Bald Spots? Get expert ca,https://neofollicletransplant.com/alopecia-areata-treatment-in-bangalore/,article,,Neo Follicle Hair Transplant,en,summary_large_image,,Best Alopecia Areata Treatment in Bangalore,1,61,1742,1,BreadcrumbList|ContactPage|ContactPoint|LocalBusiness|MedicalClinic|MedicalCondition|MedicalTherapy|MedicalWebPage|Organization|Person|Physician|ReadAction|SearchAction|Service|WebPage|WebSite,32,11,35,3
https://neofollicletransplant.com/beard-transplant-in-bangalore/,beard-transplant-in-bangalore,True,page,410,2026-06-03T16:24:47,Beard Transplant in Bangalore – Neo Follicle Hair Transplant,60,"Home » Beard Transplant in Bangalore Beard Transplant Clinic in Bangalore Natural-looking beard, moustache, and facial hair restoration by Dr. Sandeep Mah",154,True,body dump (breadcrumb prefix),https://neofollicletransplant.com/beard-transplant-in-bangalore/,True,"max-image-preview:large, max-snippet:-1, max-video-preview:-1",Beard Transplant in Bangalore – Neo Follicle Hair Transplant,"Home » Beard Transplant in Bangalore Beard Transplant Clinic in Bangalore Natural-looking beard, moustache, and facial hair restoration by Dr. Sandeep Mah",https://neofollicletransplant.com/beard-transplant-in-bangalore/,article,,Neo Follicle Hair Transplant,en,summary_large_image,,Beard Transplant Clinic in Bangalore,1,75,3325,1,BreadcrumbList|ContactPage|ContactPoint|LocalBusiness|MedicalClinic|MedicalProcedure|MedicalWebPage|Organization|Person|Physician|ReadAction|SearchAction|Service|WebPage|WebSite,36,11,55,3
https://neofollicletransplant.com/best-hair-transplant-clinic-lp/,best-hair-transplant-clinic-lp,False,page,1366,2026-06-07T08:19:57,Best Hair Transplant Clinic – LP – Neo Follicle Hair Transplant,63,"Best Hair Transplant Clinic in Bangalore Natural Results. Trusted Care. 10,000+ Successful Transplants | 20+ Years of Expertise Call # +91 - 97312 07940 AI Hair",160,True,body dump (duplicates opening body text),,False,"max-image-preview:large, noindex, follow",Best Hair Transplant Clinic – LP – Neo Follicle Hair Transplant,"Best Hair Transplant Clinic in Bangalore Natural Results. Trusted Care. 10,000+ Successful Transplants | 20+ Years of Expertise Call # +91 - 97312 07940 AI Hair",https://neofollicletransplant.com/best-hair-transplant-clinic-lp/,article,,Neo Follicle Hair Transplant,en,summary_large_image,,Best Hair Transplant Clinic in Bangalore,1,62,1760,1,BreadcrumbList|ContactPage|ContactPoint|LocalBusiness|MedicalClinic|Organization|Person|Physician|ReadAction|SearchAction|Service|WebPage|WebSite,3,13,47,2
https://neofollicletransplant.com/best-hair-transplant-in-bangalore/,best-hair-transplant-in-bangalore,True,page,244,2026-05-29T19:39:54,Best Hair Transplant in Bangalore | Neo Follicle Clinic,55,"Get the best hair transplant in Bangalore at Neo Follicle Clinic. Doctor-led planning, natural hairline design, safe graft handling, and personalized care.",155,False,,https://neofollicletransplant.com/best-hair-transplant-in-bangalore/,True,"max-image-preview:large, max-snippet:-1, max-video-preview:-1",Best Hair Transplant in Bangalore | Neo Follicle Clinic,"Get the best hair transplant in Bangalore at Neo Follicle Clinic. Doctor-led planning, natural hairline design, safe graft handling, and personalized care.",https://neofollicletransplant.com/best-hair-transplant-in-bangalore/,article,,Neo Follicle Hair Transplant,en,summary_large_image,,"Best Direct Hair Transplant in Bangalore for Natural, Long-Lasting Hair Growth",1,128,6927,1,BreadcrumbList|ContactPage|ContactPoint|LocalBusiness|MedicalClinic|MedicalProcedure|MedicalWebPage|Organization|Person|Physician|ReadAction|SearchAction|Service|WebPage|WebSite,57,11,43,5
https://neofollicletransplant.com/best-hair-transplant-surgeon-in-bangalore-lp/,best-hair-transplant-surgeon-in-bangalore-lp,False,page,1444,2026-06-07T08:59:27,Best Hair Transplant Surgeon in Bangalore – LP – Neo Follicle Hair Transplant,77,"Top Hair Transplant Surgeon in Bangalore – Dr. Sandeep Mahapatra 10,000+ Successful Transplants | 20+ Years of Expertise Choose one of Bangalore’s most trusted",159,True,body dump (duplicates opening body text),,False,"max-image-preview:large, noindex, follow",Best Hair Transplant Surgeon in Bangalore – LP – Neo Follicle Hair Transplant,"Top Hair Transplant Surgeon in Bangalore – Dr. Sandeep Mahapatra 10,000+ Successful Transplants | 20+ Years of Expertise Choose one of Bangalore’s most trusted",https://neofollicletransplant.com/best-hair-transplant-surgeon-in-bangalore-lp/,article,,Neo Follicle Hair Transplant,en,summary_large_image,,Top Hair Transplant Surgeon in Bangalore – Dr. Sandeep Mahapatra,1,48,1550,1,BreadcrumbList|ContactPage|ContactPoint|LocalBusiness|MedicalClinic|Organization|Person|Physician|ReadAction|SearchAction|Service|WebPage|WebSite,3,11,36,2
https://neofollicletransplant.com/best-prp-hair-treatment-in-bangalore/,best-prp-hair-treatment-in-bangalore,True,page,651,2026-05-26T16:42:52,Best PRP Hair Treatment in Bangalore – Neo Follicle Hair Transplant,67,Home » Best PRP Hair Treatment in Bangalore Best PRP Hair Treatment in Bangalore Struggling with Hair Fall? PRP Might Be the Answer.. At Neo Follicle Tran,154,True,body dump (breadcrumb prefix),https://neofollicletransplant.com/best-prp-hair-treatment-in-bangalore/,True,"max-image-preview:large, max-snippet:-1, max-video-preview:-1",Best PRP Hair Treatment in Bangalore – Neo Follicle Hair Transplant,Home » Best PRP Hair Treatment in Bangalore Best PRP Hair Treatment in Bangalore Struggling with Hair Fall? PRP Might Be the Answer.. At Neo Follicle Tran,https://neofollicletransplant.com/best-prp-hair-treatment-in-bangalore/,article,,Neo Follicle Hair Transplant,en,summary_large_image,,Best PRP Hair Treatment in Bangalore,1,63,2107,1,BreadcrumbList|ContactPage|ContactPoint|LocalBusiness|MedicalClinic|MedicalTherapy|MedicalWebPage|Organization|Person|Physician|ReadAction|SearchAction|Service|WebPage|WebSite,32,11,35,3
https://neofollicletransplant.com/body-hair-transplant/,body-hair-transplant,True,page,1132,2026-05-26T16:39:59,Body Hair Transplant – Neo Follicle Hair Transplant,51,Home » Body Hair Transplant Body Hair Transplant in Bangalore Running Out of Scalp Donor Hair? There’s Another Solution Neo Follicle Transplant offers adv,154,True,body dump (breadcrumb prefix),https://neofollicletransplant.com/body-hair-transplant/,True,"max-image-preview:large, max-snippet:-1, max-video-preview:-1",Body Hair Transplant – Neo Follicle Hair Transplant,Home » Body Hair Transplant Body Hair Transplant in Bangalore Running Out of Scalp Donor Hair? There’s Another Solution Neo Follicle Transplant offers adv,https://neofollicletransplant.com/body-hair-transplant/,article,,Neo Follicle Hair Transplant,en,summary_large_image,,Body Hair Transplant in Bangalore,1,58,1879,1,BreadcrumbList|ContactPage|ContactPoint|ItemList|LocalBusiness|MedicalClinic|Organization|Person|Physician|ReadAction|SearchAction|Service|WebPage|WebSite,43,11,31,3
https://neofollicletransplant.com/category/uncategorized/,uncategorized,True,category,,,Uncategorized – Neo Follicle Hair Transplant,44,,0,True,missing,https://neofollicletransplant.com/category/uncategorized/,True,"max-image-preview:large, max-snippet:-1, max-video-preview:-1",Uncategorized – Neo Follicle Hair Transplant,,https://neofollicletransplant.com/category/uncategorized/,website,,Neo Follicle Hair Transplant,en,summary_large_image,,Our Blogs,1,15,805,1,BreadcrumbList|CollectionPage|ContactPage|ContactPoint|LocalBusiness|MedicalClinic|Organization|Person|Physician|SearchAction|Service|WebSite,43,11,15,1
